,IoCType,InfoSource,IoCCategory,IoCValue
132,IP,F-ISAC,Malware,45.150.236.40
133,IP,F-ISAC,Malware,101.34.15.118
134,IP,F-ISAC,Malware,101.34.15.118
135,IP,F-ISAC,Malware,139.60.160.210
136,IP,F-ISAC,Malware,119.29.133.210
137,IP,F-ISAC,Malware,31.44.184.181
138,IP,F-ISAC,Malware,122.112.241.119
139,IP,F-ISAC,Malware,23.224.152.138
140,IP,F-ISAC,Malware,180.178.38.174
141,IP,F-ISAC,Malware,23.224.152.142
142,IP,F-ISAC,Malware,182.161.69.154
143,IP,F-ISAC,Malware,1.117.71.50
144,IP,F-ISAC,Malware,106.75.2.169
145,IP,F-ISAC,Malware,121.40.201.144
146,IP,F-ISAC,Malware,192.3.41.128
147,IP,F-ISAC,Malware,23.224.152.139
148,IP,F-ISAC,Malware,112.126.60.177
149,IP,F-ISAC,Malware,110.40.188.20
150,IP,F-ISAC,Malware,82.156.14.169
151,IP,F-ISAC,Malware,120.24.175.206
152,IP,F-ISAC,Malware,110.42.206.16
153,IP,F-ISAC,Malware,81.68.236.247
154,IP,F-ISAC,Malware,82.156.2.25
155,IP,F-ISAC,Malware,121.4.232.192
156,IP,F-ISAC,Malware,182.161.69.156
157,IP,F-ISAC,Malware,167.99.197.196
158,IP,F-ISAC,Malware,159.75.31.97
159,IP,F-ISAC,Malware,81.68.254.225
160,IP,F-ISAC,Malware,203.25.119.181
161,IP,F-ISAC,Malware,101.32.223.116
162,IP,F-ISAC,Malware,101.35.153.30
163,IP,F-ISAC,Malware,139.196.253.182
164,IP,F-ISAC,Malware,1.117.176.102
165,IP,F-ISAC,Malware,139.60.161.62
166,IP,F-ISAC,Malware,118.184.180.30
167,IP,F-ISAC,Malware,139.60.161.53
168,IP,F-ISAC,Malware,104.168.165.125
169,IP,F-ISAC,Malware,23.224.152.141
170,IP,F-ISAC,Malware,47.107.76.95
171,IP,F-ISAC,Malware,182.161.69.155
172,IP,F-ISAC,Malware,120.25.102.250
173,IP,F-ISAC,Malware,106.13.235.225
174,IP,F-ISAC,Malware,106.14.138.238
175,IP,F-ISAC,Malware,198.23.153.220
176,IP,F-ISAC,Malware,121.5.112.123
177,IP,F-ISAC,Malware,47.101.210.150
178,IP,F-ISAC,Malware,101.32.204.81
179,IP,F-ISAC,Malware,47.99.163.64
180,IP,F-ISAC,Malware,120.79.213.243
181,IP,F-ISAC,Malware,81.68.139.64
182,IP,F-ISAC,Malware,190.114.254.116
183,IP,F-ISAC,Malware,47.242.248.90
184,IP,F-ISAC,Malware,18.142.99.154
185,IP,F-ISAC,Malware,45.156.24.200
186,IP,F-ISAC,Malware,49.232.155.30
187,IP,F-ISAC,Malware,106.75.67.11
188,IP,F-ISAC,Malware,5.8.18.112
189,IP,F-ISAC,Malware,42.193.178.194
190,IP,F-ISAC,Malware,119.3.238.109
191,IP,F-ISAC,Malware,101.200.49.219
192,IP,F-ISAC,Malware,118.190.162.37
193,IP,F-ISAC,Malware,192.144.218.97
194,IP,F-ISAC,Malware,107.173.82.245
195,IP,F-ISAC,Malware,91.213.50.102
196,IP,F-ISAC,Malware,101.34.119.62
